date,center,resource_code,resource_name,stock_qty,sales_qty,stock_available,pending_FC,stock_expected,stock_processing,stock_readytoship,snap_time
2025-09-21,태광KR,BA00037,콜라겐 하이드로겔 마스크[1EA|30g/타이트업],167,0,,,,,,
2025-09-21,태광KR,BA00038,콜라겐 하이드로겔 마스크[1EA|30g/글로우업],412,0,,,,,,
2025-09-21,태광KR,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"3,774",0,,,,,,
2025-09-21,태광KR,BA00041,비타민일루미네이팅세럼[샤쉐|2ml/-],"28,085",0,,,,,,
2025-09-21,태광KR,BA00041_SET,비타민일루미네이팅세럼[2ml|100EA|샤쉐/-],83,0,,,,,,
2025-09-21,태광KR,BA00042,콜라겐 하이드로겔 마스크[10EA|30g/타이트업],99,0,,,,,,
2025-09-21,태광KR,BA00043,콜라겐 하이드로겔 마스크[10EA|30g/글로우업],12,0,,,,,,
2025-09-21,태광KR,BA00045,알로에PDRN카밍세럼[30ml/알로에PDRN],"75,390",0,,,,,,
2025-09-21,태광KR,BA00046,히알토인플러딩세럼[30ml/히알토인],"77,619",0,,,,,,
2025-09-21,태광KR,BA00047,NAD+펩타이드부스팅세럼[30ml/NAD+펩타이드],"77,048",0,,,,,,
2025-09-21,태광KR,BA00049,(SET)스위밍풀토너스페셜세트[토너|455ml/토너300ml+토너155ml],"2,400",0,,,,,,
